COMECANDO LOG DA INSTÂNCIA 7.txt
Requisicao 1 | Sensor Sensor(23) | 1 caminhos testados | Caminho selecionado: [Sensor(23), FogNode(7)] | Nó selecionado: FogNode(7)
Requisicao 2 | Sensor Sensor(6) | 1 caminhos testados | Caminho selecionado: [Sensor(6), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 3 | Sensor Sensor(46) | 1 caminhos testados | Caminho selecionado: [Sensor(46), FogNode(23)] | Nó selecionado: FogNode(23)
Requisicao 4 | Sensor Sensor(46) | 1 caminhos testados | Caminho selecionado: [Sensor(46), FogNode(23)] | Nó selecionado: FogNode(23)
Requisicao 5 | Sensor Sensor(54) | 1 caminhos testados | Caminho selecionado: [Sensor(54), FogNode(25)] | Nó selecionado: FogNode(25)
Requisicao 6 | Sensor Sensor(54) | 1 caminhos testados | Caminho selecionado: [Sensor(54), FogNode(25)] | Nó selecionado: FogNode(25)
Requisicao 7 | Sensor Sensor(25) | 1 caminhos testados | Caminho selecionado: [Sensor(25), FogNode(13)] | Nó selecionado: FogNode(13)
Requisicao 8 | Sensor Sensor(5) | 1 caminhos testados | Caminho selecionado: [Sensor(5), FogNode(5)] | Nó selecionado: FogNode(5)
Requisicao 9 | Sensor Sensor(2) | 1 caminhos testados | Caminho selecionado: [Sensor(2), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 10 | Sensor Sensor(30) | 1 caminhos testados | Caminho selecionado: [Sensor(30), FogNode(15)] | Nó selecionado: FogNode(15)
Requisicao 11 | Sensor Sensor(30) | 1 caminhos testados | Caminho selecionado: [Sensor(30), FogNode(15)] | Nó selecionado: FogNode(15)
Requisicao 12 | Sensor Sensor(41) | 1 caminhos testados | Caminho selecionado: [Sensor(41), FogNode(22)] | Nó selecionado: FogNode(22)
Requisicao 13 | Sensor Sensor(41) | 1 caminhos testados | Caminho selecionado: [Sensor(41), FogNode(22)] | Nó selecionado: FogNode(22)
Requisicao 14 | Sensor Sensor(41) | 1 caminhos testados | Caminho selecionado: [Sensor(41), FogNode(22)] | Nó selecionado: FogNode(22)
Requisicao 15 | Sensor Sensor(4) | 1 caminhos testados | Caminho selecionado: [Sensor(4), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 16 | Sensor Sensor(45) | 1 caminhos testados | Caminho selecionado: [Sensor(45), FogNode(23)] | Nó selecionado: FogNode(23)
Requisicao 17 | Sensor Sensor(1) | 1 caminhos testados | Caminho selecionado: [Sensor(1), FogNode(0)] | Nó selecionado: FogNode(0)
Requisicao 18 | Sensor Sensor(17) | 1 caminhos testados | Caminho selecionado: [Sensor(17), FogNode(10)] | Nó selecionado: FogNode(10)
Requisicao 19 | Sensor Sensor(26) | 1 caminhos testados | Caminho selecionado: [Sensor(26), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 20 | Sensor Sensor(26) | 1 caminhos testados | Caminho selecionado: [Sensor(26), FogNode(16)] | Nó selecionado: FogNode(16)
Requisicao 21 | Sensor Sensor(15) | 1 caminhos testados | Caminho selecionado: [Sensor(15), FogNode(10)] | Nó selecionado: FogNode(10)
Requisicao 22 | Sensor Sensor(59) | 1 caminhos testados | Caminho selecionado: [Sensor(59), FogNode(26)] | Nó selecionado: FogNode(26)
