Instância,Abordagem,Tempo de execução (s),Nº de sensores,Nº de servidores,Total de requisições,Requisições processadas,% Requisições processadas,% Arcos utilizados,Largura de banda total (Gbps),Custo total (US$)
1,Sem oráculo,15.65,20,10,4768,4768,100.0,38.80597014925373,0.014374976000000528,0.0003507172480000201
1,Com oráculo,17.595,20,10,4768,4768,100.0,40.298507462686565,0.014375272000000529,0.00034928744960001953
2,Sem oráculo,15.008,20,10,4978,4978,100.0,36.61971830985916,0.019582712000001157,0.0004677909280000446
2,Com oráculo,15.462,20,10,4978,4978,100.0,36.61971830985916,0.019583008000001158,0.000559376515200052
3,Sem oráculo,20.302,20,10,4807,3978,82.7543166215935,32.30769230769231,0.017875904000000702,0.0003870824192000271
3,Com oráculo,23.739,20,10,4807,3978,82.7543166215935,33.84615384615385,0.017875904000000702,0.00047275281920003696
4,Sem oráculo,48.068,40,20,10961,10956,99.95438372411276,38.13559322033898,0.0449422399999944,0.0010749878528000917
4,Com oráculo,38.24,40,20,10961,10530,96.0678770185202,30.93220338983051,0.04081708799999662,0.0010064011008001012
5,Sem oráculo,30.098,40,20,10763,10487,97.43565920282448,23.47826086956522,0.048887015999993254,0.0015616610016000343
5,Com oráculo,37.937,40,20,10763,10463,97.21267304654836,21.73913043478261,0.0486133119999934,0.001481856230400036
6,Sem oráculo,36.143,40,20,10886,10886,100.0,28.74493927125506,0.06329834399998875,0.0018583067488000355
6,Com oráculo,36.727,40,20,10886,10748,98.73231673709351,29.554655870445345,0.06177440799998918,0.0019098971104000591
7,Sem oráculo,60.325,60,30,17057,17010,99.72445330362902,26.746506986027946,0.08451228799997433,0.002642438131199678
7,Com oráculo,62.178,60,30,17057,16889,99.0150671278654,23.75249500998004,0.0840251359999747,0.002564216358399724
8,Sem oráculo,53.829,60,30,17717,17249,97.3584692668059,25.968992248062015,0.07965251199997518,0.0020588852223999226
8,Com oráculo,59.159,60,30,17717,16909,95.43940847773325,22.868217054263564,0.07884741599997618,0.0022953597279998204
9,Sem oráculo,48.264,60,30,17175,16683,97.1353711790393,21.541501976284586,0.07914992799997572,0.0018690988639999356
9,Com oráculo,59.375,60,30,17175,16676,97.09461426491994,20.75098814229249,0.07901776799997574,0.0018857548383999431
10,Sem oráculo,118.288,100,50,34249,34093,99.5445122485328,15.652818991097922,0.16159997600000975,0.004585016585599621
10,Com oráculo,137.778,100,50,34249,33228,97.01889106251276,16.023738872403563,0.16074566400000692,0.004921808191999971
11,Sem oráculo,119.202,100,50,33094,32339,97.71861968936967,16.977077363896846,0.16690083200002107,0.00468168952319976
11,Com oráculo,164.277,100,50,33094,31827,96.171511452227,14.684813753581663,0.16391735200001697,0.004544981436799673
12,Sem oráculo,141.476,100,50,33227,32784,98.66674692268336,20.12987012987013,0.15973377600000827,0.004980301945599982
12,Com oráculo,133.096,100,50,33227,31921,96.06946158244801,16.594516594516595,0.1576156320000044,0.004903540707199939
13,Sem oráculo,639.25,250,125,141706,111170,78.45115944279,10.662163792063684,0.5491200320005615,0.015193638079985451
13,Com oráculo,668.396,250,125,141706,106321,75.02928598647904,8.74442166204318,0.5285395840005548,0.01465007381758733
14,Sem oráculo,598.508,250,125,139719,111492,79.79730745281601,10.062067319169254,0.5398318720005709,0.015446321599984929
14,Com oráculo,666.573,250,125,139719,104754,74.97477078994267,8.0568154690857,0.5062801760005732,0.01489475617918667
15,Sem oráculo,633.595,250,125,143969,114745,79.70118567191548,10.157638971198294,0.5397170400005749,0.015125588255985674
15,Com oráculo,680.545,250,125,143969,106173,73.74712611742805,8.107147090197937,0.4822966000005782,0.013587719084789389
